NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,DIST,STAR,MSTAR,RSTAR,TEFF,HD,HR,HIPP,GL
,mjupiter,au,day,,deg,jd,m/s,,,,,rjupiter,pc,,msun,rsun,k,,,,
HAT-P-25 b,0.566683,0.0465813,3.652836,0.032,271,2455175.03,74.3,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,1.19,297,HAT-P-25,1.01,0.959,5500,,,,
HD 213240 b,4.53249,1.88529,882.7,0.421,201,2451499,96.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Santos 2001,http://adsabs.harvard.edu/abs/2001A%26A...379..999S,,40.6339,HD 213240,1.143,1.3947,5967.95,213240,,111143,
HD 12661 b,2.3408,0.838172,262.70861,0.376834,295.978,2454152.755,73.5609,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,,34.9528,HD 12661,1.136,1.06782,5742.75,12661,,9683,
Kepler-9 c,0.16858,0.22473,38.90861,0.132575,101.31,2455106.7,10.2,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,0.823,,Kepler-9,1,1.1,,,,,
HD 74156 c,8.24664,3.8997,2520,0.38,268,2448416,115,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,,64.433,HD 74156,1.238,1.345,6067.98,74156,,42723,
HD 20794 c,0.00743617,0.203628,40.114,0,0,2454766.756,0.56,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,6.05987,HD 20794,0.7,1.22683,5401,20794,1008,15510,
Kepler-31 c,0,0.254502,42.6318,0,90,2454974.191,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.374365,,Kepler-31,1.21,1.22,6340,,,,
Kepler-82 b,,0.16455,26.444,,,,,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.357,,Kepler-82,0.85,0.9,5512,,,,
HD 38801 b,10.0105,1.6471,696.3,0,0,2453966,200,Harakawa 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..550H,Harakawa 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..550H,,90.7441,HD 38801,1.22,2.24501,5314,38801,,27384,
HD 132563 B b,1.49247,2.62431,1544,0.22,158,2452593,26.7,Desidera 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D,Desidera 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D,,96.0615,HD 132563 B,1.01,,5985,132563,,73261,
