NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,DIST,STAR,MSTAR,RSTAR,TEFF,HD,HR,HIPP,GL
,mjupiter,au,day,,deg,jd,m/s,,,,,rjupiter,pc,,msun,rsun,k,,,,
CoRoT-14 b,7.56823,0.0269122,1.51214,0,90,2454787.6694,1230,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,1.09,1340,CoRoT-14,1.13,1.21,6035,,,,
CoRoT-4 b,0.717419,0.0903166,9.20205,0,90,2454141.36416,63,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M,Moutou 2008 ; Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ; http://adsabs.harvard.edu/abs/2008A%26A...488L..43A,1.19,,CoRoT-4,1.16,1.17,6190,,,,
HAT-P-19 b,0.292129,0.0466409,4.008778,0.067,256,2454798.988,42,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,1.132,215,HAT-P-19,0.842,0.82,4990,,,,
Kepler-24 c,0,0.105496,12.3318,0,90,2454970.586,,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.249577,,Kepler-24,1.03,1.07,5800,,,,
Kepler-47 c,,0.895669,303.158,0,,,,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,0.419091,,Kepler-47,1.043,0.964,5636,,,,
GJ 163 b,0.033876,0.0606753,8.631,0.11,97,2455042.253,6.22,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,,15,GJ 163,0.4,,,,,19394,
Kepler-33 f,,0.253499,41.02902,0,90,2455005.5,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.39754,,Kepler-33,1.291,1.82,5904,,,,
KIC 11442793 b,,,0,,,,,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,,780,KIC 11442793,1.2,,6080,,,,
HD 2039 b,5.92499,2.19755,1120,0.715,344.1,2452041,153,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,102.564,HD 2039,1.123,1.1465,5940.77,2039,,1931,
Kepler-36 c,0.0254888,0.128401,16.23855,0,90,2454955.9132,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,0.327926,,Kepler-36,1.071,1.626,5911,,,,
XO-2 b,0.566435,0.0368367,2.615838,0,90,2454147.74902,85,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,0.983,148.148,XO-2,0.974,0.971,5340,,,,
Kepler-11 d,0.0191935,0.154764,22.6845,0.0036055,146.31,2455597.533,1.426,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,0.2781,,Kepler-11,0.961,1.065,5663,,,,
HD 187085 b,0.803694,2.02754,986,0.47,94,2450912,17,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,,44.0335,HD 187085,1.143,1.31178,6075.15,187085,,97546,
HD 118203 b,2.13623,0.0702997,6.1335,0.309,155.7,2453394.23,217,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,,88.574,HD 118203,1.23,2.14975,5600,118203,,66192,
WASP-63 b,0.377818,0.0574592,4.37808,0,90,2455921.6527,39,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,1.43,330,WASP-63,1.32,1.88,5550,,,,
Kepler-30 b,0,0.185524,29.334,0.042,329,2455237.133,,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.347625,,Kepler-30,0.99,0.95,5498,,,,
HD 175167 b,7.77836,2.40085,1290,0.54,342,2453598,161,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,,67.2948,HD 175167,1.102,,,175167,,93281,
HAT-P-16 b,4.1951,0.0413275,2.77596,0.036,214,2455025.754,531.1,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,1.289,235,HAT-P-16,1.218,1.237,6158,,,,
TrES-4 b,0.913019,0.0509243,3.553945,0,90,2454230.9053,97.4,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,1.783,485.437,TrES-4,1.394,1.816,6200,,,,
NGC 4349 127 b,9.88561,1.68103,677.8,0.19,61,2454114,188,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,,2200,NGC 4349 127,1.37,42.3715,4445,,,,
GJ 676 A b,4.89701,1.81539,1056.8,0.326,85.7,2455411.9,129.3,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,,16.4501,GJ 676 A,0.71,,,,,85647,676
Kepler-60 b,,0.0750769,7.1316185,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.203227,,Kepler-60,1.11,1.5,5915,,,,
HD 47186 c,0.348285,2.38704,1353.6,0.249,26,2452010,6.65,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,39.5883,HD 47186,0.99,1.13117,5675,47186,,31540,
HIP 14810 d,0.5806,1.88623,950.69651,0.165251,296.832,2454345.169,12.2451,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W,,53.4474,HIP 14810,0.99,1.31998,5485,,,14810,
HD 142245 b,1.89038,2.77628,1299,0,234,2454760,24.8,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,109.5,HD 142245,1.69,4.51552,4878,142245,,77783,
Kepler-59 c,,0.136086,17.9801235,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.176486,,Kepler-59,1.04,0.94,6074,,,,
KIC 11442793 b,,,7.008151,,,2454970.6906,,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,,780,KIC 11442793,1.2,,6080,,,,
HD 30177 b,9.68782,3.80821,2770,0.193,34,2451437,146.8,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,52.8262,HD 30177,0.951,1.21235,5607.39,30177,,21850,
Kepler-4 b,0.0772272,0.0455763,3.21346,0,90,2454956.6127,9.3,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,0.357,549.451,Kepler-4,1.223,1.487,5857,,,,
HD 190647 b,1.90296,2.07238,1038.1,0.18,232.5,2453868,36.4,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,,57.2738,HD 190647,1.1,1.42287,5628,190647,,99115,
HD 97658 b,0.024749,0.0796373,9.4909,0.064,351,2596361.8051,2.9,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,0.208761,21.1149,HD 97658,0.748,0.703,5119,97658,,54906,
Kepler-57 b,,0.0588891,5.7293196,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.195205,,Kepler-57,0.83,0.73,5145,,,,
HD 106270 b,11.0869,4.37827,2890,0.402,15.4,2454830,142.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,84.8969,HD 106270,1.33,2.66147,5601,106270,,59625,
HD 30856 b,1.85721,2.04004,912,0.117,180,2455260,31.9,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,118.1,HD 30856,1.36,5.5698,4973,30856,,22491,
Kepler-80 b,,,9.522,,,,,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.249,,Kepler-80,0.72,0.65,4613,,,,
HD 48265 b,1.20645,1.59435,762,0.24,289,2452892,29,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M,,85.3971,HD 48265,0.93,,,48265,,31895,
HD 89307 b,1.79148,3.26609,2166,0.2,4.9,2452346.4,28.9,Fischer 2009 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,32.3625,HD 89307,0.989,1.15051,5897.77,89307,,50473,
HD 163607 c,2.2924,2.41789,1314,0.12,265,2455085,40.4,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G,,68.9998,HD 163607,1.09,1.69594,5543,163607,,87601,
WASP-49 b,0.376728,0.0378972,2.7817387,0,90,2455580.59436,56.8,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,1.115,170,WASP-49,0.938,0.976,5600,,,,
Kepler-37 c,,0.139784,21.301886,0.0984886,66.038,2455012.44,,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.066,66,Kepler-37,0.803,0.77,5417,,,,
Kepler-55 b,,0.153688,27.9481449,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.216597,,Kepler-55,0.62,0.58,4362,,,,
HD 4313 b,2.17173,1.13327,356,0.041,85.59,2454804,46.9,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,136.986,HD 4313,1.53,4.11574,4966,4313,,3574,
HR 8799 b,,67.4293,164253,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.2,39.4,HR 8799,1.516,1.44,7193,218396,8799,114189,
HD 2638 b,0.477325,0.0435743,3.4442,0,0,2453323.206,67.4,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,,49.9251,HD 2638,0.93,1.1428,5192,2638,,2350,
HD 168443 b,7.69745,0.29385,58.11247,0.52883,172.923,2455626.199,475.133,Pilyavsky 2011 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2011ApJ...743..162P,Marcy 1999,http://adsabs.harvard.edu/abs/1999ApJ...520..239M,,37.4252,HD 168443,0.995,1.58859,5491,168443,,89844,4052
HD 10180 f,0.0743252,0.49279,122.72,0.133,265,2454027.5528,2.95,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,39.0168,HD 10180,1.06,1.10851,5911,10180,,7599,
HD 45350 b,1.83614,1.94413,963.6,0.778,343.4,2451825.3,58,Endl 2006,http://adsabs.harvard.edu/abs/2006AJ....131.3131E,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,48.8759,HD 45350,1.054,1.18013,5616.04,45350,,30860,
HD 69830 c,0.0367709,0.185072,31.559999,0.13,221,2453469.6,2.66,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,,12.4938,HD 69830,0.849,0.921634,5360,69830,3259,40693,302
Kepler-21 b,0,0.0427173,2.785755,0,90,2455093.8,,Howell 2012,http://adsabs.harvard.edu/abs/2012ApJ...746..123H,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.1459,112.867,Kepler-21,1.34,1.86,6131,179070,,94112,
HD 47186 b,0.071203,0.0498411,4.0845,0.038,59,2454566.95,9.12,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,39.5883,HD 47186,0.99,1.13117,5675,47186,,31540,
KELT-3 b,1.454,0.0412729,2.70339,0,90,2456024.23,179.6,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P,1.358,178,KELT-3,1.282,1.482,6304,,,,
Kepler-51 c,,0.379271,85.3128662,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.508958,,Kepler-51,1,0.91,5803,,,,
HD 148427 b,1.14357,1.03886,331.5,0.16,277,2453991,27.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,59.0319,HD 148427,1.36,3.92268,4962,148427,,80687,
epsilon Tau b,7.67663,1.93647,594.90002,0.151,94.4,2452879,95.9,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S,,44.964,epsilon Tau,2.73,12.752,4946,28305,1409,20889,
Kepler-11 e,0.0264262,0.19466,31.9996,0.012,90,2455595.0755,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,0.373377,,Kepler-11,0.961,1.1,5663,,,,
HD 208487 b,0.5122,0.520765,130.08,0.24,113,2450999,19.7,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,,45.8505,HD 208487,1.113,1.20627,6067.44,208487,,108375,
epsilon Eri b,1.05448,3.37558,2500,0.25,6,2448940,18.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Hatzes 2000,http://adsabs.harvard.edu/abs/2000ApJ...544L.145H,,3.21605,epsilon Eri,0.82,0.74,5145.75,22049,1084,16537,144
Kepler-69 c,,0.709354,242.4613,0.14,,2454843.964,,Barclay 2013,http://adsabs.harvard.edu/abs/2013ApJ...768..101B,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.15242,,Kepler-69,0.81,0.93,5638,,,,
HD 20782 b,1.9,1.36607,591.9,0.97,147.7,2451083.8,185.3,O'Toole 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392..641O,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,,35.524,HD 20782,0.969,1.12933,5758.36,20782,,15527,
HD 190360 c,0.0589738,0.129216,17.111027,0.23747,5.18038,2454389.63,4.84311,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,15.8579,HD 190360,0.983,1.07528,5551.63,190360,7670,98767,777
Kepler-23 c,0,0.0986522,10.7421,0,90,2454966.2926,,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.28523,,Kepler-23,1.11,1.52,5760,,,,
HD 65216 b,1.21636,1.37427,613.09998,0.41,198,2450762,33.7,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,35.5745,HD 65216,0.92,0.88536,5666,65216,,38558,
Kepler-42 b,,0.0112809,1.2137672,,,,,Muirhead 2012,http://adsabs.harvard.edu/abs/2012ApJ...747..144M,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.0695249,38.7,Kepler-42,0.13,0.17,3068,,,,
HAT-P-13 b,0.8514,0.0426946,2.91625,0.0133,210,2454777.975,106.04,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,1.281,202.02,HAT-P-13,1.22,1.56,5653,,,,
GJ 3634 b,0.0221881,0.0286881,2.64561,0.08,84,2455390.417,5.57,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,,19.7824,GJ 3634,0.45,0.43,,,,,
Kepler-9 b,0.248865,0.140548,19.243158,0.150841,18.5551,2455089.7,19.09,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,0.842,,Kepler-9,1,1.1,,,,,
HD 130322 b,1.04309,0.0896052,10.7085,0.011,145,2453995,108.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,,31.7058,HD 130322,0.836,0.986573,5308.11,130322,,72339,
omega Ser b,1.70083,1.07698,277.02,0.106,132,2450022,31.8,Sato 2013,http://arxiv.org/abs/1304.4328,Sato 2013,http://arxiv.org/abs/1304.4328,,80.6452,omega Ser,2.17,12.3,4770,141680,5888,77578,
HD 16175 b,4.37946,2.1185,990,0.6,222,2453810,94,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,,57.8704,HD 16175,1.29,1.19707,6080,16175,,12191,
HD 46375 b,0.227201,0.0399038,3.023573,0.063,114,2451071.53,33.65,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,,34.8189,HD 46375,0.927,0.863012,5285.42,46375,,31246,
Kepler-48 c,,0.0854683,9.6739283,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.279882,,Kepler-48,0.89,0.89,5190,,,,
Kepler-60 d,,0.105629,11.9016171,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.227293,,Kepler-60,1.11,1.5,5915,,,,
Kepler-14 b,8.40643,0.0806879,6.790123,0.0350051,89.0179,2454971.07,682.9,Bucchave 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....3B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,1.136,979.998,Kepler-14,1.512,2.048,6395,,,,
CoRoT-13 b,1.3102,0.051069,4.03519,0,90,2444790.8091,157.8,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,0.885,1310.62,CoRoT-13,1.09,1.01,5945,,,,
HD 98219 b,2.12353,1.32398,436.9,0,47,2455140,41.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,134,HD 98219,1.62,2.95355,5046,98219,,55174,
HD 11964 b,0.608106,3.1288,1944.5898,0.041,154.961,2454170.722,9.41101,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,32.8515,HD 11964,1.08,1.76025,5372,11964,,9094,81.1
HAT-P-34 b,3.32973,0.0677467,5.452654,0.441,20,2455431.59629,343.1,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,1.197,257.003,HAT-P-34,1.392,1.197,6442,351766,,,
MOA-2010-BLG-477L b,,,,,,,,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,,2300,MOA-2010-BLG-477L,0.67,,,,,,
Kepler-31 b,,0.158038,20.8613,0,90,2454992.141,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.383278,,Kepler-31,1.21,1.22,6340,,,,
Kepler-85 c,,0.102591,12.513,,,,,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.194,,Kepler-85,0.92,1.24,5497,,,,
HD 139357 b,10.0754,2.34618,1125.7,0.1,235.4,2452466.7,161.2,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,,118.064,HD 139357,1.35,7.76389,4700,139357,5811,76311,
HD 1461 b,0.0240044,0.0635202,5.7727,0.14,58,2450366.519,2.7,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R,,23.245,HD 1461,1.026,1.12553,5765,1461,72,1499,9009
HAT-P-30 b,0.706657,0.0419042,2.810595,0.035,252,2455454.91,88.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,1.34,193,HAT-P-30,1.242,1.215,6304,,,,
Kepler-37 b,,0.102457,13.367308,0,90,2455017.03271,,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.0270078,66,Kepler-37,0.803,0.77,5417,,,,
HD 8535 b,0.682196,2.4447,1313,0.15,61,2454537,11.8,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,52.5486,HD 8535,1.13,1.0437,6136,8535,,6511,
HAT-P-28 b,0.627451,0.0433674,3.257215,0.051,233,2455415.602,84.7,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,1.212,394.999,HAT-P-28,1.025,1.103,5680,,,,
HD 4203 b,2.08215,1.16537,431.88,0.519,329.1,2451918.9,60.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,77.2201,HD 4203,1.13,1.15783,5701.69,4203,,3502,
HD 102956 b,0.951497,0.0810025,6.4948,0.048,12,2455352.26,73.4,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,,126.263,HD 102956,1.68,3.42909,5054,102956,,57820,
Fomalhaut b,,113.443,318498,0.12,,,,,,Kalas 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1345K,1.2,7.704,Fomalhaut,1.92,1.842,8590,216956,8728,113368,
GJ 176 b,0.0259969,0.0656822,8.7832,0,0,2454399.79,4.12,Forveille 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..645F,Forveille 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..645F,,9.27386,GJ 176,0.49,,,285968,,21932,176
HD 23079 b,2.4433,1.59509,730.6,0.102,55,2450492,54.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T,,33.8868,HD 23079,1.012,1.16249,5927.07,23079,,17096,
HD 178911 B b,7.29127,0.344904,71.484,0.114,168.2,2453808.1,343.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Zucker 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..363Z,,42.5894,HD 178911 B,1.06421,0.894377,5667.87,178911,,94075,
WASP-58 b,0.890462,0.0562022,5.01718,0,90,2455183.9335,110.1,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,1.37,300,WASP-58,0.94,1.17,5800,,,,
HD 162020 b,15.2138,0.0756944,8.428198,0.277,28.4,2451990.677,1813,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,,29.4291,HD 162020,0.8,0.526361,4844.67,162020,,87330,
MOA-bin-1L b,,,,,,,,Bennett 2012,http://adsabs.harvard.edu/abs/2012ApJ...757..119B,Bennett 2012,http://adsabs.harvard.edu/abs/2012ApJ...757..119B,,5100,MOA-bin-1L,0.75,,,,,,
HD 168746 b,0.245103,0.0655505,6.404,0.107,17,2451757.83,28.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P,,42.735,HD 168746,0.916,0.888361,5563.62,168746,,90004,
GJ 876 c,0.612168,0.129574,30.0881,0.25591,48.76,2450577.5,88.34,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...556..296M,,4.68867,GJ 876,0.32,,,,,113020,876
Kepler-20 c,0.0494862,0.0930411,10.854092,0,6.46982,2454963.325,4.83,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.273643,290,Kepler-20,0.912,0.944,5466,,,,
